# All positions (variant and fixed)
Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
CMHAMM10	0	1947867.0000	56109.0000	53384.0000	2.7406	19.3165	1.8942	0.0010	0.9916	0.0033	0.0000	0.0154	0.0116	0.0001	0.9846	0.0116	0.0001	0.0102	0.0043	0.0000	0.9898	0.0043	0.0000	0.0105	0.0045	0.0000	-0.0198	47.3970	0.0010
CMKALA03	0	1948208.0000	56146.0000	54550.0000	2.8000	18.4470	3.0081	0.0012	0.9915	0.0032	0.0000	0.0152	0.0110	0.0001	0.9848	0.0110	0.0001	0.0104	0.0043	0.0000	0.9896	0.0043	0.0000	0.0107	0.0046	0.0000	-0.0147	47.4357	0.0012
CMLILLIW11	0	1953137.0000	56185.0000	54894.0000	2.8106	19.5136	1.2919	0.0008	0.9912	0.0035	0.0000	0.0161	0.0122	0.0001	0.9839	0.0122	0.0001	0.0105	0.0044	0.0000	0.9895	0.0044	0.0000	0.0108	0.0047	0.0000	-0.0153	47.4234	0.0008
CMSHERW94F	0	1952795.0000	56185.0000	55687.0000	2.8517	30.7747	3.7708	0.0014	0.9912	0.0034	0.0000	0.0160	0.0119	0.0001	0.9840	0.0119	0.0001	0.0107	0.0045	0.0000	0.9893	0.0045	0.0000	0.0108	0.0046	0.0000	-0.0123	47.4443	0.0014
CMSHERW94S	0	1949064.0000	56114.0000	55561.0000	2.8507	28.8452	5.3872	0.0017	0.9913	0.0033	0.0000	0.0157	0.0115	0.0001	0.9843	0.0115	0.0001	0.0106	0.0044	0.0000	0.9894	0.0044	0.0000	0.0108	0.0046	0.0000	-0.0118	47.4518	0.0017
CMSKOO10	0	1930977.0000	55847.0000	52887.0000	2.7389	12.5942	2.1505	0.0011	0.9915	0.0032	0.0000	0.0154	0.0112	0.0001	0.9846	0.0112	0.0001	0.0104	0.0043	0.0000	0.9896	0.0043	0.0000	0.0108	0.0047	0.0000	-0.0197	47.3969	0.0011
CMSNOH10	0	1946682.0000	56122.0000	54053.0000	2.7767	15.0786	1.6157	0.0009	0.9914	0.0033	0.0000	0.0155	0.0114	0.0001	0.9845	0.0114	0.0001	0.0104	0.0043	0.0000	0.9896	0.0043	0.0000	0.0108	0.0047	0.0000	-0.0169	47.4183	0.0009
CMSQUA10	0	1882220.0000	55156.0000	52186.0000	2.7726	12.2227	2.1532	0.0011	0.9915	0.0032	0.0000	0.0146	0.0103	0.0001	0.9854	0.0103	0.0001	0.0105	0.0044	0.0000	0.9895	0.0044	0.0000	0.0110	0.0048	0.0001	-0.0179	47.4053	0.0011
CMSTILL10	0	1929276.0000	55939.0000	53431.0000	2.7695	14.4442	2.1786	0.0011	0.9916	0.0032	0.0000	0.0150	0.0108	0.0001	0.9850	0.0108	0.0001	0.0103	0.0043	0.0000	0.9897	0.0043	0.0000	0.0107	0.0046	0.0000	-0.0175	47.4123	0.0011
CMUW10	0	1929013.0000	55544.0000	51364.0000	2.6627	10.7313	2.7043	0.0012	0.9919	0.0031	0.0000	0.0145	0.0105	0.0001	0.9855	0.0105	0.0001	0.0100	0.0042	0.0000	0.9900	0.0042	0.0000	0.0106	0.0046	0.0000	-0.0229	47.3909	0.0012
